kegg_ortholog,Comparison,Z,P.unadj,P.adj
K01128,Adenoma - Cancer,-5.81665693688389,6.003617733068558e-9,9.005426599602836e-9
K01128,Adenoma - Normal,1.7846502948895928,0.07431805796410325,0.07431805796410325
K01128,Cancer - Normal,7.449798554129484,9.348286135851801e-14,2.8044858407555403e-13
K00785,Adenoma - Cancer,4.582294846278872,4.599008184511777e-6,1.379702455353533e-5
K00785,Adenoma - Normal,1.4920893665837163,0.13567571909677642,0.13567571909677642
K00785,Cancer - Normal,-3.3750050645701437,7.381433242850205e-4,0.0011072149864275308
K05789,Adenoma - Cancer,4.395869209602335,1.1033035518379261e-5,3.309910655513778e-5
K05789,Adenoma - Normal,1.1943128935976879,0.232355595876685,0.232355595876685
K05789,Cancer - Normal,-3.4417070972222903,5.780557969167933e-4,8.670836953751899e-4
K12107,Adenoma - Cancer,4.395869209602335,1.1033035518379261e-5,3.309910655513778e-5
K12107,Adenoma - Normal,1.1943128935976879,0.232355595876685,0.232355595876685
K12107,Cancer - Normal,-3.4417070972222903,5.780557969167933e-4,8.670836953751899e-4
K08589,Adenoma - Cancer,-3.729865260663509,1.9158219312784e-4,2.8737328969176e-4
K08589,Adenoma - Normal,1.59069880746699,0.11167737544603416,0.11167737544603416
K08589,Cancer - Normal,5.1611683179177135,2.4541339752970043e-7,7.362401925891013e-7
