kegg_ortholog,method,parameter,statistic,p.value,bh
K00929,Kruskal-Wallis rank sum test,2,0.10191439278871164,0.9503193467564308,0.9974264642220675
K01026,Kruskal-Wallis rank sum test,2,0.0584380995033887,0.971203699235208,0.9974264642220675
K00467,Kruskal-Wallis rank sum test,2,0.054182754765392714,0.973272302385243,0.9974264642220675
K01908,Kruskal-Wallis rank sum test,2,0.05321405360016865,0.9737438215730221,0.9974264642220675
K01035,Kruskal-Wallis rank sum test,2,0.04930823508823592,0.9756473129631194,0.9974264642220675
K01905,Kruskal-Wallis rank sum test,2,0.041747622208276616,0.9793425389260972,0.9974264642220675
K00128,Kruskal-Wallis rank sum test,2,0.03208725974468507,0.9840843836426042,0.9974264642220675
K01512,Kruskal-Wallis rank sum test,2,0.03008538468369242,0.9850698837651178,0.9974264642220675
K00156,Kruskal-Wallis rank sum test,2,0.024775712252700543,0.9876885575042033,0.9974264642220675
K00925,Kruskal-Wallis rank sum test,2,0.024464801766953315,0.9878421108038171,0.9974264642220675
K01067,Kruskal-Wallis rank sum test,2,0.024042145360305436,0.9880508917621365,0.9974264642220675
K01895,Kruskal-Wallis rank sum test,2,0.02335896565978146,0.9883884575695492,0.9974264642220675
K01034,Kruskal-Wallis rank sum test,2,0.005153706027409784,0.9974264642220675,0.9974264642220675
