chi2,Z,P,P.adjusted,comparisons,model,scfa
213.5598697674418,-4.223235915111111,1.2040975495616893e-5,1.2040975495616893e-5,adenoma - cancer,reg_train,acetate
213.5598697674418,10.004202738112076,7.303171398338117e-24,1.0954757097507177e-23,adenoma - normal,reg_train,acetate
213.5598697674418,14.227438653223187,3.095400759914933e-46,9.2862022797448e-46,cancer - normal,reg_train,acetate
194.01988305647842,2.208211946349354,0.01361475100817169,0.01361475100817169,adenoma - cancer,reg_train,butyrate
194.01988305647842,13.014511604065625,5.059358363336392e-39,1.5178075090009177e-38,adenoma - normal,reg_train,butyrate
194.01988305647842,10.806299657716272,1.6068667987537298e-27,2.4103001981305948e-27,cancer - normal,reg_train,butyrate
158.75652624584723,-6.011651201301765,9.182155771103198e-10,9.182155771103198e-10,adenoma - cancer,reg_train,propionate
158.75652624584723,6.5838788817511,2.291652697946318e-11,3.4374790469194776e-11,adenoma - normal,reg_train,propionate
158.75652624584723,12.595530083052866,1.1172684993301456e-36,3.351805497990437e-36,cancer - normal,reg_train,propionate
49.01157209302335,-0.7238435615940292,0.23458089113130143,0.23458089113130143,adenoma - cancer,reg_test,acetate
49.01157209302335,5.668477620861352,7.20359418329431e-9,1.0805391274941465e-8,adenoma - normal,reg_test,acetate
49.01157209302335,6.392321182455381,8.169312415802869e-11,2.450793724740861e-10,cancer - normal,reg_test,acetate
51.20066976744192,0.04564779217259664,0.4817954881018928,0.4817954881018928,adenoma - cancer,reg_test,butyrate
51.20066976744192,6.219511683516268,2.4935224477374464e-10,7.480567343212339e-10,adenoma - normal,reg_test,butyrate
51.20066976744192,6.173863891343672,3.3320458264239236e-10,4.998068739635886e-10,cancer - normal,reg_test,butyrate
21.01252624584731,-0.7238435615940292,0.23458089113130143,0.23458089113130143,adenoma - cancer,reg_test,propionate
21.01252624584731,3.5580823720247063,1.8678608617783308e-4,2.801791292667496e-4,adenoma - normal,reg_test,propionate
21.01252624584731,4.281925933618735,9.264132948066164e-6,2.7792398844198493e-5,cancer - normal,reg_test,propionate
212.05835481727604,-4.152318809414399,1.6456165884612663e-5,1.6456165884612663e-5,adenoma - cancer,log_reg_train,acetate
212.05835481727604,10.01153899042553,6.781303461361503e-24,1.0171955192042254e-23,adenoma - normal,log_reg_train,acetate
212.05835481727604,14.163857799839928,7.666991757008516e-46,2.300097527102555e-45,cancer - normal,log_reg_train,acetate
184.4468916943522,1.0409326893643878,0.14895339446292732,0.14895339446292732,adenoma - cancer,log_reg_train,butyrate
184.4468916943522,12.247465667736817,8.666404694850917e-35,2.599921408455275e-34,adenoma - normal,log_reg_train,butyrate
184.4468916943522,11.20653297837243,1.8936979840768538e-29,2.8405469761152806e-29,cancer - normal,log_reg_train,butyrate
140.88954684385385,-4.55988838238401,2.559040856448335e-6,2.559040856448335e-6,adenoma - cancer,log_reg_train,propionate
140.88954684385385,7.210720884978362,2.7828216914792733e-13,4.17423253721891e-13,adenoma - normal,log_reg_train,propionate
140.88954684385385,11.770609267362373,2.7661751903005425e-32,8.298525570901627e-32,cancer - normal,log_reg_train,propionate
36.28199601328902,-1.3669883477400768,0.0858144789327269,0.0858144789327269,adenoma - cancer,log_reg_test,acetate
36.28199601328902,4.396860553196165,5.491392677955399e-6,8.2370890169331e-6,adenoma - normal,log_reg_test,acetate
36.28199601328902,5.7638489009362415,4.110851411026512e-9,1.2332554233079537e-8,cancer - normal,log_reg_test,acetate
77.52357209302318,1.354761260550988,0.0877468164320707,0.0877468164320707,adenoma - cancer,log_reg_test,butyrate
77.52357209302318,8.211711756191727,1.0902861742855793e-16,3.270858522856738e-16,adenoma - normal,log_reg_test,butyrate
77.52357209302318,6.856950495640739,3.5172997038506326e-12,5.275949555775949e-12,cancer - normal,log_reg_test,butyrate
33.98165049833892,-2.163379293322696,0.015256009430741391,0.015256009430741391,adenoma - cancer,log_reg_test,propionate
33.98165049833892,3.606175581635121,1.5537145976505078e-4,2.3305718964757618e-4,adenoma - normal,log_reg_test,propionate
33.98165049833892,5.769554874957817,3.9740596977901685e-9,1.1922179093370506e-8,cancer - normal,log_reg_test,propionate
